Provinsi;Year;Sampah;Udara;Air
Kep.Riau;2022;586454,74;9,027;5,679
DKI Jakarta;2022;3112381,41;6,806;4,117
Jawa Barat;2022;5351017,02;8,031;4,713
Jawa Tengah;2022;5904061,08;8,514;4,816
DI Yogyakarta;2022;691435,18;8,916;3,931
Jawa Timur;2022;5616863,25;8,428;5,613
Banten;2022;2627865,54;7,397;5,549
Bali;2022;1027433,75;8,919;5,350
Nusa Tenggara Barat;2022;814803,96;8,930;4,339
Nusa Tenggara Timur;2022;162984,51;9,152;5,262
Kalimantan Barat;2022;574099,34;9,090;5,552
Kalimantan Tengah;2022;358359;9,125;5,669
Kalimantan Selatan;2022;776827,15;8,952;5,463
Kalimantan Timur;2022;791828,97;8,759;5,302
Kalimantan Utara;2022;44338,49;9,452;5,446
Sulawesi Utara;2022;485946,26;9,241;4,824
Sulawesi Tengah;2022;405093,08;9,186;5,771
Sulawesi Selatan;2022;1317276,45;9,035;5,779
Sulawesi Tenggara;2022;264182,13;9,205;5,621
Gorontalo;2022;149170,71;9,447;5,807
Sulawesi Barat;2022;45956,42;9,188;5,641
Maluku;2022;73365,88;9,146;5,208
Maluku Utara;2022;67401,48;9,274;5,569
Papua;2022;287876,44;9,579;6,200
Papua Barat;2022;93778,11;9,532;5,507
